iso3,year,intentional_homicides
KEN,2007,2.8963347284418
KEN,2006,2.99685605964534
KEN,2005,3.02711294215376
KEN,2004,3.45600857857553
KIR,2012,7.12479070927292
KIR,2011,9.94148082875799
KIR,2010,3.67971739770386
KIR,2009,0.939258173894258
KIR,2008,6.71640000959486
KIR,2001,4.42798709241763
KIR,2000,3.38550776974033
KIR,1996,1.21032406426821
KOR,2023,0.477306316584835
KOR,2022,0.49630655708926
KOR,2021,0.472531479878428
KOR,2020,0.593924062354197
KOR,2019,0.573715197653771
KOR,2018,0.59836299503258
KOR,2017,0.584621875068617
KOR,2016,0.693986349015599
KOR,2015,0.73552614730237
KOR,2014,0.745957747469183
KOR,2013,0.702999427944201
KOR,2012,0.877023564282435
KOR,2011,0.820312091704541
KOR,2010,0.993727389936438
KOR,2009,1.09643755353408
KOR,2008,0.888451063800414
KOR,2007,0.893348650348504
KOR,2006,0.865877155391301
KOR,2005,0.858964633866176
KOR,2004,0.880428906223651
KOR,2003,0.81369986339581
KOR,2002,0.783818725484695
KOR,2001,0.865486201280152
KOR,2000,0.791086129840636
KOR,1999,0.827274200757047
KOR,1998,0.817013515783673
KOR,1997,0.603759904845466
KOR,1996,0.539859337441754
KOR,1995,0.502942515384837
KOR,1994,0.495289536990376
KOR,1993,0.682661899987434
KOR,1992,0.53701944266852
KOR,1991,0.487307198226096
KOR,1990,0.471927627916195
XKX,2021,1.89497747704421
XKX,2020,2.11257513202167
XKX,2019,1.36748864129747
XKX,2018,2.48905241208978
XKX,2017,2.71474940317931
XKX,2016,2.15692969005204
XKX,2015,2.36085035581387
XKX,2014,3.04038656027525
XKX,2013,2.25625933114568
XKX,2012,4.98192116165116
XKX,2011,3.45991989727386
XKX,2010,5.92595077267969
XKX,2009,4.06757410716052
XKX,2008,6.27478679607165
KWT,2020,0.249991818449578
KWT,2019,0.360182418888326
KWT,2018,0.855810403300653
KWT,2017,1.10718395103166
KWT,2012,1.8279755171148
KWT,2011,1.88329056827335
KWT,2010,2.03847866298902
KWT,2009,1.75282705964334
KWT,2008,1.43319401807446
KWT,2007,2.35257855568823
KWT,2006,1.90296284972493
KWT,2005,1.83298551315547
KWT,2004,1.99321334034512
KWT,2003,1.37448510129244
KWT,2002,1.11651921735886
KWT,2001,1.94211356235168
KWT,1996,0.924723731560792
