iso3,year,asylum_seekers
EGY,2013,23150
EGY,2012,16938
EGY,2011,18915
EGY,2010,14283
EGY,2009,13425
EGY,2008,14653
EGY,2007,14865
EGY,2006,16355
EGY,2005,11003
EGY,2004,8741
EGY,2003,5390
EGY,2002,12085
EGY,2001,15644
EGY,2000,11164
SLV,2025,328
SLV,2024,272
SLV,2023,263
SLV,2022,54
SLV,2021,66
SLV,2020,53
SLV,2019,29
SLV,2018,16
SLV,2017,5
SLV,2016,0
SLV,2015,0
SLV,2014,0
SLV,2013,5
SLV,2012,0
SLV,2011,5
SLV,2010,18
SLV,2009,54
SLV,2008,0
SLV,2007,5
SLV,2006,0
SLV,2005,0
SLV,2004,0
SLV,2003,5
SLV,2002,5
SLV,2001,5
SLV,2000,5
GNQ,2024,0
ERI,2025,0
ERI,2024,0
ERI,2023,0
ERI,2022,0
ERI,2021,0
ERI,2020,0
ERI,2019,0
ERI,2018,0
ERI,2017,0
ERI,2016,8
ERI,2015,0
ERI,2014,0
ERI,2013,5
ERI,2012,17
ERI,2011,7
ERI,2010,135
ERI,2009,135
ERI,2008,128
ERI,2007,2016
ERI,2006,2001
ERI,2005,1589
ERI,2004,449
ERI,2003,200
ERI,2002,5
EST,2025,321
EST,2024,172
EST,2023,346
EST,2022,631
EST,2021,15
EST,2020,5
EST,2019,33
EST,2018,30
EST,2017,36
EST,2016,43
EST,2015,73
EST,2014,84
EST,2013,15
EST,2012,0
EST,2011,5
EST,2010,5
EST,2009,19
EST,2008,5
EST,2007,5
EST,2006,5
EST,2005,0
EST,2004,10
EST,2003,0
EST,2002,5
EST,2001,20
EST,2000,10
SWZ,2025,3511
SWZ,2024,3164
SWZ,2023,1772
SWZ,2022,976
SWZ,2021,646
SWZ,2020,1104
SWZ,2019,963
SWZ,2018,739
SWZ,2017,544
SWZ,2016,377
SWZ,2015,263
SWZ,2014,266
SWZ,2013,531
SWZ,2012,415
SWZ,2011,0
SWZ,2010,0
SWZ,2009,603
SWZ,2008,440
SWZ,2007,251
SWZ,2006,256
SWZ,2005,256
SWZ,2004,305
SWZ,2003,326
SWZ,2002,367
SWZ,2001,360
ETH,2025,112987
ETH,2024,63055
ETH,2023,63747
ETH,2022,2214
ETH,2021,2251
ETH,2020,1901
ETH,2019,1677
ETH,2018,2136
ETH,2017,2593
ETH,2016,1948
ETH,2015,2126
ETH,2014,4120
ETH,2013,930
ETH,2012,837
ETH,2011,1340
ETH,2010,1014
ETH,2009,2441
ETH,2008,1656
ETH,2007,178
ETH,2006,312
ETH,2005,208
ETH,2004,42
ETH,2003,5
ETH,2002,12
ETH,2001,0
ETH,2000,33
FJI,2025,31
FJI,2024,10
FJI,2023,0
FJI,2022,13
FJI,2021,0
FJI,2020,5
FJI,2019,10
FJI,2018,17
FJI,2017,10
FJI,2016,0
FJI,2015,6
FJI,2014,11
FJI,2013,7
FJI,2012,7
FJI,2011,0
FJI,2010,5
FJI,2009,5
FJI,2008,5
FIN,2025,1879
FIN,2024,4386
FIN,2023,7410
FIN,2022,6046
FIN,2021,2408
FIN,2020,6316
FIN,2019,8308
FIN,2018,3264
FIN,2017,3101
FIN,2016,5559
FIN,2015,24340
FIN,2014,1734
FIN,2013,1504
FIN,2012,1867
FIN,2011,2262
FIN,2010,2075
FIN,2009,3763
FIN,2008,2736
FIN,2007,712
FIN,2006,1112
FIN,2005,0
FIN,2004,0
FIN,2003,0
FIN,2002,0
FIN,2001,0
FIN,2000,1300
FRA,2025,85227
FRA,2024,88554
FRA,2023,79642
FRA,2022,75047
FRA,2021,75708
FRA,2020,118137
FRA,2019,102140
FRA,2018,89055
FRA,2017,63115
FRA,2016,62764
FRA,2015,63043
FRA,2014,55826
FRA,2013,51691
FRA,2012,49885
FRA,2011,49240
FRA,2010,48576
FRA,2009,40517
FRA,2008,31496
FRA,2007,32275
FRA,2006,37009
FRA,2005,41279
FRA,2004,59346
FRA,2003,22900
FRA,2002,34588
FRA,2001,34551
GAB,2025,86
GAB,2024,82
GAB,2023,86
GAB,2022,75
GAB,2021,53
GAB,2020,80
GAB,2019,76
GAB,2018,82
GAB,2017,5
GAB,2016,1911
GAB,2015,1942
GAB,2014,1884
GAB,2013,2428
GAB,2012,2368
GAB,2011,2357
GAB,2010,4121
GAB,2009,4277
GAB,2008,4296
GAB,2007,4258
GAB,2006,4127
GAB,2005,4844
GAB,2004,4837
GAB,2003,5122
GAB,2002,5664
GAB,2001,3629
GAB,2000,3037
GMB,2025,509
GMB,2024,447
GMB,2023,446
GMB,2022,198
GMB,2021,207
GMB,2020,207
GMB,2019,206
GMB,2018,349
GMB,2017,5
GMB,2016,0
GMB,2015,0
GMB,2014,0
GMB,2013,0
GMB,2012,0
GMB,2011,25
GMB,2010,74
GMB,2009,68
GMB,2008,0
GMB,2007,0
GMB,2006,600
GMB,2005,600
GMB,2004,600
GMB,2003,0
GMB,2002,0
GMB,2001,223
GMB,2000,223
GEO,2025,288
GEO,2024,764
GEO,2023,1051
GEO,2022,1030
GEO,2021,1229
GEO,2020,1282
GEO,2019,1111
GEO,2018,677
GEO,2017,530
GEO,2016,305
GEO,2015,720
GEO,2014,1240
GEO,2013,325
GEO,2012,451
GEO,2011,36
GEO,2010,42
GEO,2009,21
GEO,2008,14
GEO,2007,5
GEO,2006,5
GEO,2005,5
GEO,2004,9
DEU,2025,297503
DEU,2024,348903
DEU,2023,361493
DEU,2022,261019
DEU,2021,253867
DEU,2020,243157
DEU,2019,309231
DEU,2018,369239
DEU,2017,429265
DEU,2016,587306
DEU,2015,420570
DEU,2014,226147
DEU,2013,135515
DEU,2012,85507
DEU,2011,62654
DEU,2010,51930
DEU,2009,38875
